name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,gnat,3,14,1266,0.476,908,0,62% 56% 62% 61%,0.250
binarytrees,gnat,3,21,1266,84.884,528180,0,83% 90% 84% 83%,24.973
binarytrees,java,2,7,552,0.390,1836,0,28% 75% 27% 38%,0.243
binarytrees,java,2,14,552,0.540,1020,0,36% 31% 71% 47%,0.328
binarytrees,java,2,21,552,16.427,842424,0,23% 66% 22% 18%,12.924
binarytrees,fsharpcore,5,7,515,0.098,0,0,90% 0% 20% 10%,0.099
binarytrees,fsharpcore,5,14,515,0.000,780,-10,0% 4% 17% 92%,0.232
binarytrees,fsharpcore,5,21,515,0.000,780,-10,0% 4% 17% 92%,0.232
binarytrees,perl,3,7,648,0.029,0,0,25% 0% 0% 100%,0.038
binarytrees,perl,3,14,648,3.047,26284,0,88% 62% 84% 94%,0.941
binarytrees,perl,3,21,648,609.324,2199432,0,83% 93% 77% 81%,183.128
binarytrees,java,3,7,540,0.384,2272,0,25% 54% 56% 31%,0.246
binarytrees,java,3,14,540,0.518,1020,0,38% 21% 79% 25%,0.325
binarytrees,java,3,21,540,16.035,826544,0,38% 8% 15% 68%,12.497
binarytrees,ghc,5,7,561,0.000,0,-11,%,0.000
binarytrees,ghc,5,14,561,0.000,0,-11,%,0.000
binarytrees,ghc,5,21,561,0.000,0,-11,%,0.000
binarytrees,gnat,1,7,888,0.004,0,0,%,0.000
binarytrees,gnat,1,14,888,0.193,0,0,100% 5% 6% 0%,0.195
binarytrees,gnat,1,21,888,41.309,265428,0,0% 45% 56% 0%,41.334
binarytrees,ocaml,2,7,751,0.004,0,0,%,0.000
binarytrees,ocaml,2,14,751,0.101,0,0,75% 75% 60% 100%,0.040
binarytrees,ocaml,2,21,751,30.167,115968,0,89% 89% 82% 44%,10.025
binarytrees,ocaml,5,7,461,0.003,0,0,100% 0% 0% 0%,0.020
binarytrees,ocaml,5,14,461,0.069,0,0,0% 17% 100% 0%,0.071
binarytrees,ocaml,5,21,461,22.761,151984,0,100% 1% 1% 1%,22.786
binarytrees,ifc,1,7,773,0.004,0,0,%,0.000
binarytrees,ifc,1,14,773,0.324,2404,0,0% 6% 100% 0%,0.325
binarytrees,ifc,1,21,773,65.596,250956,0,0% 6% 95% 0%,65.640
binarytrees,hack,2,7,422,0.301,1480,0,47% 3% 3% 53%,0.330
binarytrees,hack,2,14,422,1.042,90984,0,99% 1% 3% 1%,1.060
binarytrees,hack,2,21,422,152.096,614752,0,6% 95% 1% 1%,152.195
binarytrees,php,2,7,423,0.010,0,0,0% 93% 0% 0%,0.107
binarytrees,php,2,14,423,0.875,15968,0,99% 0% 0% 3%,0.877
binarytrees,php,2,21,423,322.034,734856,0,0% 77% 23% 1%,322.307
binarytrees,java,7,7,835,0.492,1024,0,45% 15% 46% 53%,0.345
binarytrees,java,7,14,835,0.699,2208,0,66% 41% 39% 71%,0.347
binarytrees,java,7,21,835,28.275,933808,0,82% 86% 84% 88%,8.388
binarytrees,fsharpcore,3,7,531,0.108,0,0,0% 0% 100% 9%,0.109
binarytrees,fsharpcore,3,14,531,0.228,792,0,0% 4% 74% 27%,0.227
binarytrees,fsharpcore,3,21,531,24.892,819252,0,12% 16% 14% 70%,22.534
binarytrees,go,1,7,482,0.005,0,0,%,0.000
binarytrees,go,1,14,482,0.327,948,0,28% 23% 41% 33%,0.266
binarytrees,go,1,21,482,97.604,265700,0,43% 46% 46% 41%,55.803
binarytrees,mri,3,7,400,0.017,0,0,33% 43% 54% 50%,0.129
binarytrees,mri,3,14,400,3.891,12712,0,1% 2% 100% 0%,3.894
binarytrees,mri,3,21,400,1306.592,839892,0,23% 20% 30% 29%,1307.567
binarytrees,gpp,8,7,820,0.004,0,0,%,0.000
binarytrees,gpp,8,14,820,0.054,0,0,100% 0% 67% 100%,0.022
binarytrees,gpp,8,21,820,13.558,221456,0,71% 98% 55% 40%,5.191
binarytrees,jruby,5,7,1083,11.373,174304,0,50% 66% 41% 38%,8.602
binarytrees,jruby,5,14,1083,12.422,225616,0,78% 80% 73% 86%,3.952
binarytrees,jruby,5,21,1083,235.587,2333064,0,95% 94% 95% 94%,63.732
binarytrees,ghc,3,7,538,0.000,0,-11,%,0.000
binarytrees,ghc,3,14,538,0.000,0,-11,%,0.000
binarytrees,ghc,3,21,538,0.000,0,-11,%,0.000
binarytrees,jruby,1,7,376,9.714,171172,0,72% 77% 83% 68%,3.261
binarytrees,jruby,1,14,376,11.810,207172,0,79% 67% 72% 67%,4.185
binarytrees,jruby,1,21,376,175.312,2330784,0,27% 22% 61% 57%,105.586
binarytrees,racket,2,7,416,0.080,0,0,0% 0% 88% 11%,0.090
binarytrees,racket,2,14,416,0.163,0,0,0% 0% 100% 6%,0.165
binarytrees,racket,2,21,416,29.779,501312,0,0% 1% 100% 0%,29.807
binarytrees,csharpcore,1,7,600,0.092,0,0,91% 0% 0% 0%,0.094
binarytrees,csharpcore,1,14,600,0.290,764,0,11% 79% 30% 4%,0.274
binarytrees,csharpcore,1,21,600,32.768,1169000,0,30% 31% 37% 20%,28.535
binarytrees,vw,1,7,725,0.204,1164,0,0% 5% 95% 0%,0.213
binarytrees,vw,1,14,725,0.392,724,0,100% 0% 5% 3%,0.398
binarytrees,vw,1,21,725,75.928,375100,0,0% 100% 1% 0%,76.028
binarytrees,racket,3,7,473,0.078,0,0,0% 0% 100% 0%,0.079
binarytrees,racket,3,14,473,0.153,0,0,0% 0% 94% 0%,0.155
binarytrees,racket,3,21,473,28.290,493956,0,0% 0% 0% 100%,28.314
binarytrees,erlang,2,7,478,0.168,0,0,53% 38% 21% 53%,0.137
binarytrees,erlang,2,14,478,0.448,1464,0,69% 58% 67% 70%,0.245
binarytrees,erlang,2,21,478,53.728,511840,0,88% 83% 91% 86%,15.509
binarytrees,php,6,7,868,0.027,0,0,38% 9% 0% 0%,0.216
binarytrees,php,6,14,868,1.088,31204,0,92% 89% 86% 53%,0.349
binarytrees,php,6,21,868,235.574,736468,0,93% 94% 92% 98%,65.199
binarytrees,go,5,7,950,0.004,0,0,%,0.000
binarytrees,go,5,14,950,0.395,0,0,79% 85% 79% 69%,0.130
binarytrees,go,5,21,950,127.223,407804,0,99% 99% 99% 99%,32.098
binarytrees,ghc,4,7,618,0.000,0,-10,0% 0% 0% 0%,0.016
binarytrees,ghc,4,14,618,0.000,0,-10,0% 0% 0% 0%,0.016
binarytrees,ghc,4,21,618,0.000,0,-10,0% 0% 0% 0%,0.016
binarytrees,gpp,2,7,508,0.004,0,0,%,0.000
binarytrees,gpp,2,14,508,0.171,0,0,0% 6% 100% 6%,0.172
binarytrees,gpp,2,21,508,36.185,265092,0,100% 1% 1% 0%,36.208
binarytrees,erlang,1,7,420,0.164,0,0,50% 23% 38% 23%,0.130
binarytrees,erlang,1,14,420,0.428,1432,0,31% 15% 18% 79%,0.401
binarytrees,erlang,1,21,420,45.944,521296,0,100% 1% 1% 0%,45.953
binarytrees,php,4,7,770,0.023,0,0,0% 33% 67% 50%,0.025
binarytrees,php,4,14,770,0.797,35240,0,52% 58% 77% 72%,0.315
binarytrees,php,4,21,770,316.718,1552072,0,67% 89% 70% 71%,112.737
binarytrees,ghc,1,7,494,0.007,0,0,0% 0% 50% 0%,0.016
binarytrees,ghc,1,14,494,0.162,0,0,30% 82% 13% 22%,0.107
binarytrees,ghc,1,21,494,52.226,711956,0,91% 37% 36% 45%,25.127
binarytrees,chapel,1,7,484,0.030,0,0,100% 0% 0% 0%,0.022
binarytrees,chapel,1,14,484,0.248,0,0,90% 60% 67% 60%,0.095
binarytrees,chapel,1,21,484,43.738,298452,0,100% 77% 76% 58%,14.145
chameneosredux,csharpcore,1,60000,1400,0.304,0,0,19% 94% 38% 41%,0.164
chameneosredux,csharpcore,1,600000,1400,2.233,53888,0,72% 87% 66% 92%,0.720
